locus prob log10(PO) qval alpha fst
1018 0.0088504 -2.0492 0.97421 -0.0046291 0.018284
10180 0.0079504 -2.0961 0.97936 0.0029789 0.018413
10183 0.012651 -1.8924 0.91703 -0.010424 0.018236
10185 0.0076504 -2.1130 0.98043 0.0030414 0.018447
10187 0.0082504 -2.0799 0.97796 0.0011133 0.018401
1019 0.0098505 -2.0022 0.96440 0.0039577 0.018506
10195 0.0074004 -2.1275 0.98105 -0.0018344 0.018324
10198 0.0064003 -2.1910 0.98229 -0.00025394 0.018340
10200 0.0076504 -2.1130 0.98043 0.0010589 0.018377
10201 0.0094005 -2.0227 0.96969 -0.0052661 0.018280
10202 0.0085504 -2.0643 0.97636 -0.0051971 0.018280
10203 1.0000 1000.0 0.0000 1.6546 0.089050
10221 0.0097005 -2.0090 0.96618 -0.0064035 0.018265
10225 0.0085504 -2.0643 0.97636 0.0036157 0.018452
10228 0.0076504 -2.1130 0.98043 -0.00056253 0.018346
10233 0.024701 -1.5964 0.74988 0.024439 0.019171
10236 0.0080004 -2.0934 0.97913 -0.00040806 0.018357
10248 0.0097505 -2.0067 0.96554 -0.0053103 0.018280
10249 0.0095505 -2.0158 0.96805 -0.0044071 0.018299
10250 0.012501 -1.8976 0.92089 -0.0078284 0.018261
10257 0.0094005 -2.0227 0.96969 0.0047488 0.018476
10262 0.0080504 -2.0907 0.97894 0.0012078 0.018407
1027 0.0085504 -2.0643 0.97636 0.0014778 0.018415
10271 0.0080504 -2.0907 0.97894 0.0018897 0.018401
10272 0.0085504 -2.0643 0.97636 -0.0023938 0.018329
10278 0.0080004 -2.0934 0.97913 0.0022590 0.018397
10281 0.012151 -1.9101 0.92795 -0.0098141 0.018230
10283 0.011501 -1.9343 0.94148 -0.0077442 0.018259
10285 0.0082004 -2.0826 0.97826 -0.0011872 0.018345
10288 0.0094505 -2.0204 0.96918 0.0045301 0.018464
1030 0.0090505 -2.0394 0.97261 0.00018371 0.018395
10303 0.010351 -1.9805 0.95867 -0.0066965 0.018269
10307 0.0084004 -2.0720 0.97723 -0.0031016 0.018302
10312 0.0091005 -2.0370 0.97221 -0.0033259 0.018302
10313 0.0092005 -2.0322 0.97154 0.0012707 0.018453
10314 0.011401 -1.9381 0.94320 -0.0076976 0.018263
10315 0.012501 -1.8976 0.92089 0.010122 0.018695
10319 0.0089004 -2.0467 0.97382 -0.0036928 0.018305
10329 0.0090505 -2.0394 0.97261 -0.0050139 0.018284
10341 0.0062503 -2.2014 0.98235 0.00038790 0.018364
10342 0.0081504 -2.0853 0.97848 -0.0012213 0.018342
10344 0.0087004 -2.0567 0.97532 0.0020462 0.018407
10345 0.0074004 -2.1275 0.98105 0.0011374 0.018376
10347 0.010251 -1.9848 0.95972 0.0066490 0.018560
10352 0.011651 -1.9286 0.93866 -0.0047226 0.018315
10355 0.0080504 -2.0907 0.97894 0.00014071 0.018362
10364 0.0098005 -2.0045 0.96493 -0.0058826 0.018282
10366 0.0085004 -2.0669 0.97666 0.0017015 0.018390
10368 0.0099005 -2.0000 0.96399 -0.0060361 0.018278
1037 0.010001 -1.9956 0.96269 -0.0064574 0.018264
10373 0.0089504 -2.0443 0.97341 -0.0053119 0.018284
10376 0.056803 -1.2202 0.55908 0.067900 0.020774
10379 0.0085504 -2.0643 0.97636 0.0043443 0.018456
10381 0.011051 -1.9518 0.94903 -0.0068499 0.018272
10387 0.0096005 -2.0135 0.96758 0.00093533 0.018407
10388 0.0095005 -2.0181 0.96854 -0.0043381 0.018291
10390 0.0082004 -2.0826 0.97826 0.0021368 0.018422
10392 0.0067503 -2.1677 0.98206 -0.0011742 0.018330
10395 0.0082504 -2.0799 0.97796 -0.0040957 0.018290
10396 0.0073504 -2.1305 0.98119 -0.0015176 0.018326
10398 0.010751 -1.9639 0.95276 0.0064044 0.018571
10404 0.013651 -1.8589 0.88948 0.0097779 0.018629
1041 0.010151 -1.9891 0.96109 -0.0080643 0.018249
10413 0.013501 -1.8637 0.89499 -0.011513 0.018211
10419 0.010101 -1.9912 0.96161 -0.0054505 0.018278
1042 0.0083004 -2.0773 0.97769 0.0012733 0.018403
10429 0.0082504 -2.0799 0.97796 -0.00073054 0.018342
10434 0.012751 -1.8889 0.91487 -0.0099673 0.018241
10440 0.010851 -1.9598 0.95115 -0.0059787 0.018279
10445 0.0096005 -2.0135 0.96758 -0.0061662 0.018270
10452 0.0073504 -2.1305 0.98119 0.0014208 0.018399
10460 0.011201 -1.9459 0.94682 -0.0054267 0.018295
10464 0.0074504 -2.1246 0.98093 -0.0031325 0.018303
10466 0.0085504 -2.0643 0.97636 -0.0032379 0.018304
10467 0.0077004 -2.1101 0.98024 -8.1754e-05 0.018355
10474 0.0096005 -2.0135 0.96758 -0.0050096 0.018290
10477 0.0095505 -2.0158 0.96805 -0.0045894 0.018283
10478 0.010801 -1.9618 0.95179 -0.0081014 0.018248
10484 0.0075504 -2.1187 0.98070 -0.0018756 0.018319
10486 0.0098505 -2.0022 0.96440 -0.0029488 0.018348
10490 0.0082504 -2.0799 0.97796 -0.0013435 0.018345
10492 0.0078504 -2.1017 0.97975 -0.0034676 0.018307
10498 0.0091505 -2.0346 0.97181 -0.0016225 0.018344
10500 0.0093505 -2.0251 0.97016 -0.0026079 0.018322
10504 0.0077504 -2.1073 0.98009 0.0032962 0.018433
10505 0.012951 -1.8820 0.90861 0.0099404 0.018652
10508 0.0091505 -2.0346 0.97181 -0.0053009 0.018280
10512 0.0079504 -2.0961 0.97936 0.0012795 0.018389
10513 0.0074504 -2.1246 0.98093 0.00092540 0.018372
10515 0.0081504 -2.0853 0.97848 -0.0033871 0.018309
10516 0.0076504 -2.1130 0.98043 -0.00069102 0.018337
10517 0.0088504 -2.0492 0.97421 0.0028109 0.018450
10520 0.010701 -1.9659 0.95348 0.0072052 0.018571
10521 0.0093505 -2.0251 0.97016 -0.0052281 0.018278
10527 0.011601 -1.9305 0.93942 -0.0096989 0.018232
10529 0.0073504 -2.1305 0.98119 -0.00063576 0.018350
1053 0.0076504 -2.1130 0.98043 -0.0022229 0.018327
10542 0.0086004 -2.0617 0.97604 0.0019414 0.018421
10548 0.0079504 -2.0961 0.97936 -0.00023896 0.018383
10553 0.010001 -1.9956 0.96269 -0.0061216 0.018268
10562 0.010101 -1.9912 0.96161 -0.0045631 0.018313
10564 0.0088004 -2.0517 0.97463 -0.0048724 0.018287
10565 0.0082504 -2.0799 0.97796 0.0038795 0.018449
10567 0.010351 -1.9805 0.95867 0.0045213 0.018511
10569 0.0079504 -2.0961 0.97936 -0.0030383 0.018307
1057 0.014651 -1.8277 0.86519 -0.013277 0.018202
10571 0.0096005 -2.0135 0.96758 -0.0045879 0.018302
10579 0.0082504 -2.0799 0.97796 0.0040484 0.018443
1058 0.0091505 -2.0346 0.97181 -0.0017716 0.018354
10587 0.012301 -1.9047 0.92503 -0.0088426 0.018248
10589 0.014101 -1.8446 0.87928 -0.012829 0.018213
10591 0.0089004 -2.0467 0.97382 -0.0021629 0.018324
10592 0.0078004 -2.1045 0.97994 0.00097086 0.018390
10598 0.0075504 -2.1187 0.98070 0.0010782 0.018383
10604 0.010751 -1.9639 0.95276 -0.0074904 0.018253
10605 0.0085004 -2.0669 0.97666 -0.00048839 0.018364
10607 0.0074504 -2.1246 0.98093 1.0602e-05 0.018351
10620 0.0090505 -2.0394 0.97261 -0.0032511 0.018308
10624 0.0091005 -2.0370 0.97221 -0.0024479 0.018321
10631 0.011001 -1.9538 0.94987 -0.0082458 0.018245
10635 0.0070504 -2.1487 0.98169 0.00024305 0.018356
10637 0.010801 -1.9618 0.95179 -0.0063636 0.018288
1064 0.013301 -1.8703 0.90055 -0.010360 0.018227
10640 0.0097505 -2.0067 0.96554 -0.0045756 0.018297
10648 0.0089004 -2.0467 0.97382 -0.0044981 0.018289
10654 0.0090005 -2.0418 0.97300 -0.0054350 0.018279
10660 0.0095005 -2.0181 0.96854 -0.0062044 0.018273
10661 0.0085004 -2.0669 0.97666 -0.0027154 0.018315
10662 0.0094505 -2.0204 0.96918 -0.0043705 0.018305
10664 0.0085004 -2.0669 0.97666 -0.0024511 0.018319
10665 0.0069503 -2.1550 0.98182 0.0018205 0.018392
10682 0.0080004 -2.0934 0.97913 -0.0013773 0.018341
10689 0.0082504 -2.0799 0.97796 -0.00029264 0.018362
10692 0.0084004 -2.0720 0.97723 0.0024530 0.018417
10693 0.015451 -1.8043 0.85012 -0.013410 0.018194
10700 0.013451 -1.8654 0.89657 -0.010330 0.018230
10704 0.011051 -1.9518 0.94903 0.0079575 0.018590
10706 0.020501 -1.6792 0.78385 0.019384 0.019029
1071 0.011551 -1.9324 0.94040 -0.0087941 0.018245
10711 0.0085504 -2.0643 0.97636 -0.0048708 0.018277
10715 0.014401 -1.8353 0.87141 0.010499 0.018722
10719 0.0092505 -2.0298 0.97114 -0.0043832 0.018296
1072 0.0082004 -2.0826 0.97826 -0.00032843 0.018373
10721 0.0089504 -2.0443 0.97341 0.0051550 0.018519
10727 0.0070004 -2.1518 0.98177 -0.0012670 0.018322
10730 0.0081004 -2.0880 0.97870 -0.0017865 0.018339
10734 0.0090505 -2.0394 0.97261 0.0033741 0.018443
10743 0.010601 -1.9700 0.95506 -0.0066973 0.018266
10752 0.0082004 -2.0826 0.97826 0.00090518 0.018387
10753 0.0089504 -2.0443 0.97341 -0.0014160 0.018348
10763 0.0095005 -2.0181 0.96854 0.0052096 0.018485
10770 0.011051 -1.9518 0.94903 -0.0057836 0.018274
10771 0.0097005 -2.0090 0.96618 -0.0056272 0.018276
10772 0.0085004 -2.0669 0.97666 -0.0014843 0.018341
10774 0.0072504 -2.1365 0.98140 -0.0012217 0.018338
10783 0.0079004 -2.0989 0.97957 -0.00073715 0.018355
10786 0.016201 -1.7834 0.83336 0.013629 0.018805
10790 0.0083004 -2.0773 0.97769 -0.0041082 0.018296
10794 0.0093005 -2.0274 0.97060 -0.0054851 0.018279
10800 0.0078004 -2.1045 0.97994 0.00039961 0.018364
10801 0.0071004 -2.1456 0.98163 0.0023147 0.018405
10807 0.012551 -1.8958 0.91965 0.0087862 0.018607
10817 0.0089004 -2.0467 0.97382 0.0030527 0.018460
10822 0.0069503 -2.1550 0.98182 0.00036946 0.018370
10823 0.0086004 -2.0617 0.97604 0.0032364 0.018427
10824 0.0097005 -2.0090 0.96618 -0.0051978 0.018279
10830 0.0084004 -2.0720 0.97723 -0.0031881 0.018301
10831 0.0086004 -2.0617 0.97604 0.0012991 0.018402
10832 0.0087004 -2.0567 0.97532 0.0018336 0.018451
10834 0.0082504 -2.0799 0.97796 -0.0025157 0.018322
10843 0.0089504 -2.0443 0.97341 -0.0046620 0.018283
10850 0.0086004 -2.0617 0.97604 7.4805e-05 0.018363
10858 0.0069503 -2.1550 0.98182 0.00062523 0.018364
1086 0.0088004 -2.0517 0.97463 -0.00052090 0.018379
10862 0.0070504 -2.1487 0.98169 -0.0019832 0.018318
1087 0.0092505 -2.0298 0.97114 -0.0045128 0.018282
10875 0.0088504 -2.0492 0.97421 -0.0044217 0.018288
10877 0.010351 -1.9805 0.95867 -0.0067094 0.018262
10885 0.0080004 -2.0934 0.97913 0.0012911 0.018388
10887 0.013701 -1.8573 0.88826 -0.010804 0.018220
10888 0.011601 -1.9305 0.93942 -0.0086227 0.018239
10891 0.0092505 -2.0298 0.97114 0.0032150 0.018447
10894 0.014151 -1.8430 0.87755 0.010379 0.018669
10895 0.0095005 -2.0181 0.96854 -0.00033601 0.018375
10897 0.012901 -1.8837 0.91052 -0.0097384 0.018235
10898 0.0067503 -2.1677 0.98206 0.0020373 0.018401
1090 0.0094005 -2.0227 0.96969 0.0022277 0.018432
10904 0.0094505 -2.0204 0.96918 -0.0039440 0.018293
10909 0.0078004 -2.1045 0.97994 -0.0030940 0.018311
10914 0.0080504 -2.0907 0.97894 0.00034801 0.018363
10915 0.010301 -1.9826 0.95924 -0.00065645 0.018402
10917 0.0089504 -2.0443 0.97341 -0.0049249 0.018289
10921 0.011801 -1.9229 0.93543 0.0079262 0.018588
10923 0.0085504 -2.0643 0.97636 -0.0013196 0.018331
10926 0.0084004 -2.0720 0.97723 -0.0024086 0.018321
10927 0.0082004 -2.0826 0.97826 -0.0038798 0.018294
10931 0.014151 -1.8430 0.87755 -0.014085 0.018187
10932 0.010501 -1.9742 0.95639 0.0063966 0.018526
10936 0.013001 -1.8804 0.90728 -0.010945 0.018221
10937 0.0078504 -2.1017 0.97975 -0.0024229 0.018311
10941 0.0081504 -2.0853 0.97848 -0.0013946 0.018328
10942 0.0081504 -2.0853 0.97848 -0.0029740 0.018299
10948 0.010751 -1.9639 0.95276 -0.0032269 0.018319
10949 0.0081504 -2.0853 0.97848 -0.0032318 0.018305
10953 0.0081504 -2.0853 0.97848 0.0019677 0.018415
1096 0.012301 -1.9047 0.92503 -0.0082003 0.018250
10964 0.012551 -1.8958 0.91965 -0.0088673 0.018244
10967 0.0090505 -2.0394 0.97261 0.0033106 0.018438
10970 0.0072504 -2.1365 0.98140 -0.00041859 0.018351
10974 0.0073504 -2.1305 0.98119 -0.00070425 0.018346
10975 0.010351 -1.9805 0.95867 -0.0065016 0.018272
1098 0.0080504 -2.0907 0.97894 -0.0021974 0.018317
10980 0.0087004 -2.0567 0.97532 0.0014742 0.018416
10995 0.0092005 -2.0322 0.97154 -0.0036242 0.018314
10997 0.0077004 -2.1101 0.98024 -0.0017315 0.018318
10998 0.021851 -1.6509 0.77110 0.023227 0.019185
11 0.0071504 -2.1426 0.98155 -0.0033329 0.018298
110 0.0093005 -2.0274 0.97060 -0.0034104 0.018303
11001 0.010801 -1.9618 0.95179 -0.0061061 0.018279
1101 0.0090505 -2.0394 0.97261 -0.0050198 0.018281
11012 0.024551 -1.5991 0.75103 0.024033 0.019158
11015 0.0091505 -2.0346 0.97181 -0.00037382 0.018368
11016 0.010101 -1.9912 0.96161 0.0024735 0.018489
1102 0.0088504 -2.0492 0.97421 -0.00021526 0.018360
11022 0.0070004 -2.1518 0.98177 0.00024486 0.018357
11025 0.0076004 -2.1159 0.98057 0.0015088 0.018389
11036 0.031702 -1.4849 0.67869 0.038480 0.019861
11038 0.0091505 -2.0346 0.97181 -0.0049939 0.018280
11039 0.0080004 -2.0934 0.97913 0.00022350 0.018373
1104 0.030952 -1.4957 0.68637 0.033259 0.019542
11045 0.0093005 -2.0274 0.97060 -0.0056691 0.018281
11047 0.011551 -1.9324 0.94040 0.0076916 0.018620
11048 0.0089004 -2.0467 0.97382 0.0022588 0.018427
11053 0.010001 -1.9956 0.96269 0.0030188 0.018483
11055 0.0099005 -2.0000 0.96399 0.0031023 0.018428
11056 0.0068003 -2.1645 0.98201 0.0010414 0.018371
11060 0.0083504 -2.0747 0.97747 0.0039763 0.018463
11061 0.0084504 -2.0694 0.97695 -0.0028642 0.018322
11062 0.0096505 -2.0112 0.96693 0.0049681 0.018481
11063 0.010201 -1.9869 0.96051 0.0073170 0.018567
11066 0.0068503 -2.1613 0.98196 0.00013798 0.018355
1107 0.011901 -1.9192 0.93350 -0.0090453 0.018241
11080 0.012801 -1.8872 0.91328 0.0084275 0.018626
11082 0.011101 -1.9498 0.94806 -0.0074545 0.018260
11094 0.0075004 -2.1216 0.98082 -0.0011890 0.018332
11097 0.010051 -1.9934 0.96214 0.0053431 0.018515
11099 0.0076004 -2.1159 0.98057 0.0015944 0.018390
111 0.0074504 -2.1246 0.98093 0.0022790 0.018402
11107 0.0088004 -2.0517 0.97463 0.0034848 0.018499
11109 0.0068503 -2.1613 0.98196 -0.00088214 0.018329
11114 0.065553 -1.1540 0.52259 0.082662 0.021382
1112 0.0097505 -2.0067 0.96554 0.0057390 0.018497
11129 0.010051 -1.9934 0.96214 -0.0034175 0.018321
11131 0.0073504 -2.1305 0.98119 0.00027810 0.018359
11135 0.012501 -1.8976 0.92089 -0.010588 0.018226
11138 0.015901 -1.7916 0.84044 0.012851 0.018732
11139 0.0074004 -2.1275 0.98105 -0.00056339 0.018338
11145 0.0075004 -2.1216 0.98082 -0.00060189 0.018343
11152 0.014401 -1.8353 0.87141 -0.014475 0.018191
11153 0.0088004 -2.0517 0.97463 -0.0037520 0.018304
11154 0.010001 -1.9956 0.96269 0.0063278 0.018540
11155 0.0094505 -2.0204 0.96918 0.00036346 0.018389
11156 0.0079004 -2.0989 0.97957 -0.00015967 0.018364
11157 0.0086504 -2.0592 0.97568 -0.0047393 0.018282
11159 0.021501 -1.6581 0.77675 0.024284 0.019282
11160 0.0092505 -2.0298 0.97114 0.0037290 0.018470
11163 0.0077004 -2.1101 0.98024 -0.00034444 0.018353
11164 0.0091005 -2.0370 0.97221 0.0013542 0.018438
11165 0.010501 -1.9742 0.95639 -0.0070448 0.018258
11166 0.0088004 -2.0517 0.97463 0.0034225 0.018462
11167 0.026201 -1.5701 0.72967 0.024141 0.019130
11168 0.0091005 -2.0370 0.97221 -0.00053058 0.018361
11173 0.0080504 -2.0907 0.97894 0.0034619 0.018445
11177 0.0085504 -2.0643 0.97636 0.0034014 0.018445
11184 0.0068503 -2.1613 0.98196 -0.0016554 0.018323
11190 0.0088004 -2.0517 0.97463 -0.0037272 0.018296
11191 0.010551 -1.9721 0.95578 -0.0041354 0.018302
11193 0.0076004 -2.1159 0.98057 0.00099476 0.018380
11200 0.010301 -1.9826 0.95924 0.0039983 0.018475
11201 0.0097005 -2.0090 0.96618 -0.00037122 0.018385
11202 0.0083004 -2.0773 0.97769 -0.0044321 0.018287
11203 0.0095005 -2.0181 0.96854 -0.0029446 0.018320
11204 0.0096505 -2.0112 0.96693 -0.0051697 0.018285
11209 0.0096505 -2.0112 0.96693 0.0041866 0.018496
1121 0.010801 -1.9618 0.95179 -0.0074176 0.018255
11214 0.010701 -1.9659 0.95348 -0.0067289 0.018266
11218 0.014401 -1.8353 0.87141 -0.012430 0.018210
11219 0.0075504 -2.1187 0.98070 0.00080547 0.018377
11220 0.0097505 -2.0067 0.96554 -0.0051316 0.018287
11222 0.0082504 -2.0799 0.97796 -0.0035099 0.018299
11223 0.0088004 -2.0517 0.97463 0.00022311 0.018375
11229 0.013801 -1.8541 0.88659 0.012583 0.018792
11230 0.0085504 -2.0643 0.97636 0.0014631 0.018396
11233 0.0094005 -2.0227 0.96969 -0.0048969 0.018293
11236 0.010501 -1.9742 0.95639 0.0050188 0.018492
11249 0.0075504 -2.1187 0.98070 0.0028415 0.018423
1125 0.0075504 -2.1187 0.98070 -0.00038102 0.018347
11253 0.010201 -1.9869 0.96051 -0.0072201 0.018253
11254 0.0080504 -2.0907 0.97894 -0.00019542 0.018359
11262 0.0074504 -2.1246 0.98093 -0.0016665 0.018325
11265 0.0068003 -2.1645 0.98201 0.00019802 0.018359
11275 0.010401 -1.9784 0.95800 -0.0057383 0.018274
11276 0.0098005 -2.0045 0.96493 -0.0034229 0.018315
11280 0.0085004 -2.0669 0.97666 -0.00094744 0.018364
11285 0.0098505 -2.0022 0.96440 0.0040364 0.018495
11286 0.0085004 -2.0669 0.97666 -0.0010456 0.018337
11288 0.020501 -1.6792 0.78385 0.018274 0.018940
11291 0.0081004 -2.0880 0.97870 0.0013366 0.018397
11292 0.0086004 -2.0617 0.97604 0.0042552 0.018458
11294 0.012001 -1.9156 0.93103 -0.0091800 0.018247
11299 0.010551 -1.9721 0.95578 -0.0064211 0.018272
113 0.012701 -1.8906 0.91629 0.0090393 0.018615
11303 0.0082004 -2.0826 0.97826 -0.0030501 0.018308
11304 0.0071504 -2.1426 0.98155 0.0019819 0.018397
1131 0.0082504 -2.0799 0.97796 0.0031083 0.018467
11315 0.0089504 -2.0443 0.97341 0.00063374 0.018389
11318 0.011251 -1.9439 0.94594 -0.0074274 0.018263
11319 0.0081004 -2.0880 0.97870 -0.0028817 0.018306
11320 0.15061 -0.75126 0.40178 0.21635 0.026879
11325 0.010551 -1.9721 0.95578 -0.0057816 0.018280
11328 0.0077004 -2.1101 0.98024 -0.00092579 0.018341
11331 0.0080504 -2.0907 0.97894 -0.0021345 0.018315
11342 0.0068503 -2.1613 0.98196 -0.00084258 0.018333
11345 0.0077504 -2.1073 0.98009 -0.0030357 0.018310
11347 0.0066503 -2.1743 0.98215 -0.00068645 0.018329
11354 0.013601 -1.8605 0.89087 -0.012502 0.018207
11356 0.012751 -1.8889 0.91487 -0.011119 0.018217
11361 0.014501 -1.8323 0.86823 0.011830 0.018725
11362 0.0080504 -2.0907 0.97894 -0.0017319 0.018330
11363 0.0092505 -2.0298 0.97114 -0.0034987 0.018314
11366 0.0084504 -2.0694 0.97695 -0.0031753 0.018314
11367 0.0070504 -2.1487 0.98169 0.00022550 0.018351
11368 0.57383 0.12920 0.087206 0.78767 0.048222
11373 0.013101 -1.8770 0.90491 -0.010471 0.018230
11377 0.0082004 -2.0826 0.97826 0.00036539 0.018382
11382 0.012901 -1.8837 0.91052 0.0098815 0.018685
11383 0.016051 -1.7875 0.83815 -0.016727 0.018171
11389 0.0092505 -2.0298 0.97114 -0.0044520 0.018285
11390 0.0074504 -2.1246 0.98093 0.00031819 0.018366
11394 0.0074504 -2.1246 0.98093 0.0021816 0.018413
11397 0.012751 -1.8889 0.91487 -0.0090885 0.018249
114 0.010251 -1.9848 0.95972 -0.0017623 0.018360
1140 0.0090005 -2.0418 0.97300 0.0052168 0.018482
11401 0.0087004 -2.0567 0.97532 -0.0021773 0.018333
11405 0.0098505 -2.0022 0.96440 -0.0054019 0.018279
1141 0.0081004 -2.0880 0.97870 -0.0025342 0.018317
11415 0.020601 -1.6771 0.78212 0.019505 0.019018
11416 0.0087504 -2.0542 0.97496 0.0026535 0.018427
11417 0.011551 -1.9324 0.94040 -0.0097149 0.018237
11421 0.0093005 -2.0274 0.97060 -0.0064038 0.018266
11422 0.010601 -1.9700 0.95506 -0.0046729 0.018287
11423 0.010651 -1.9680 0.95432 0.0061077 0.018524
11427 0.0079004 -2.0989 0.97957 -0.0038327 0.018298
11437 0.0088004 -2.0517 0.97463 -0.0048489 0.018278
11449 0.0078504 -2.1017 0.97975 -0.0029787 0.018310
11459 0.0081004 -2.0880 0.97870 -0.0051822 0.018283
1146 0.0085004 -2.0669 0.97666 -0.0023093 0.018335
11468 0.0070504 -2.1487 0.98169 -0.0032439 0.018299
11469 0.0081504 -2.0853 0.97848 -0.0023220 0.018321
11475 0.0091505 -2.0346 0.97181 0.0035086 0.018460
11480 0.0087504 -2.0542 0.97496 -0.00085221 0.018350
11484 0.013501 -1.8637 0.89499 0.0095063 0.018624
11489 0.0071004 -2.1456 0.98163 -0.0027498 0.018307
11494 0.0084004 -2.0720 0.97723 0.0033085 0.018478
11497 0.0091005 -2.0370 0.97221 -0.0039607 0.018296
11498 0.0080504 -2.0907 0.97894 -0.00018675 0.018359
115 0.0074004 -2.1275 0.98105 -0.00011021 0.018359
1150 0.0068503 -2.1613 0.98196 3.5093e-05 0.018357
11500 0.0082504 -2.0799 0.97796 -0.0027427 0.018308
11505 0.0074004 -2.1275 0.98105 0.00033688 0.018361
11506 0.014351 -1.8368 0.87197 0.010778 0.018703
11507 0.0098005 -2.0045 0.96493 0.0043584 0.018485
11510 0.0080004 -2.0934 0.97913 0.00018357 0.018379
11517 0.010601 -1.9700 0.95506 -0.0068515 0.018256
11520 0.0087504 -2.0542 0.97496 -0.0040236 0.018295
11531 0.0080504 -2.0907 0.97894 -0.0015919 0.018329
11532 0.012851 -1.8855 0.91199 0.0084993 0.018629
11535 0.011951 -1.9174 0.93203 0.0082624 0.018595
11536 0.22841 -0.52867 0.31910 0.32373 0.030927
11537 0.0093005 -2.0274 0.97060 8.2559e-05 0.018405
11539 0.0087004 -2.0567 0.97532 -0.0039104 0.018299
11542 0.0073004 -2.1335 0.98130 -0.00022372 0.018340
11543 0.0070004 -2.1518 0.98177 -0.00012785 0.018346
11545 0.0088504 -2.0492 0.97421 -0.0057663 0.018275
11549 0.0075504 -2.1187 0.98070 -0.0020884 0.018314
11557 0.0086004 -2.0617 0.97604 -0.0023782 0.018333
11560 0.010701 -1.9659 0.95348 0.0071385 0.018542
11568 0.0090005 -2.0418 0.97300 -0.0013667 0.018352
11579 0.010001 -1.9956 0.96269 -0.0045484 0.018298
11589 0.0099505 -1.9978 0.96333 -0.0038080 0.018336
11591 0.29216 -0.38430 0.27852 0.48533 0.039776
11593 0.0079504 -2.0961 0.97936 -0.0011479 0.018343
11594 0.0092505 -2.0298 0.97114 -0.0036879 0.018301
116 0.010651 -1.9680 0.95432 -0.0089235 0.018243
11600 0.013351 -1.8687 0.89877 -0.010744 0.018232
11602 0.010551 -1.9721 0.95578 -0.0062608 0.018269
